GitHub Repo,Cloneable,Compatible,Measurable,Implementation,Comment
tensorflow/privacy,True,True,True,Python,This project is correctly measurable by measure_proj.py script
tensorflow/quantum,True,True,True,Python,This project has no bloated dependencies
tensorflow/ranking,True,True,True,Python,This project has no bloated dependencies
tensorflow/serving,True,True,True,Python,This project has no bloated dependencies
tensorflow/tcav,True,True,True,Python,This project has no bloated dependencies
tensorflow/tfjs,True,True,True,Python,This project has no bloated dependencies
tensorforce/tensorforce,True,True,True,Python,This project has no bloated dependencies
tensorlayer/hyperpose,True,True,True,Python,This project is correctly measurable by measure_proj.py script
tensorlayer/RLzoo,True,True,True,Python,This project has no bloated dependencies
tensorlayer/tensorlayer,True,True,True,Python,This project has no bloated dependencies
tensorpack/tensorpack,True,True,True,Python,This project has no bloated dependencies
tensorwerk/hangar-py,True,True,True,Python,This project has no bloated dependencies
Tessellate-Imaging/Monk_Object_Detection,True,True,True,Python,This project has more than 1000 dependencies
Tessellate-Imaging/monk_v1,True,True,True,Python,This project has no bloated dependencies
tf-encrypted/tf-encrypted,True,True,True,Python,This project has no bloated dependencies
TheAlgorithms/Python,True,True,True,Python,This project has no bloated dependencies
THUDM/cogdl,True,True,True,Python,This project is correctly measurable by measure_proj.py script
thu-ml/tianshou,True,True,True,Python,This project has no bloated dependencies
tianzhi0549/FCOS,True,True,True,Python,This project is correctly measurable by measure_proj.py script
Tiiiger/QPyTorch,True,True,True,Python,This project has no bloated dependencies
timesler/facenet-pytorch,True,True,True,Python,This project has no bloated dependencies
tlatkowski/multihead-siamese-nets,True,True,True,Python,This project has no bloated dependencies
tofunlp/lineflow,True,True,True,Python,This project has no bloated dependencies
torchgan/torchgan,True,True,True,Python,This project has no bloated dependencies
totalgood/nlpia,True,True,False,Python,This project has an incomplete output. PyCD is missing some configuration files
tristandeleu/pytorch-meta,True,True,True,Python,This project has no bloated dependencies
tslearn-team/tslearn,True,True,True,Python,This project has no bloated dependencies
uber/causalml,True,True,False,Python,This project has an incomplete output. PyCD is missing some configuration files
uber/ludwig,True,True,True,Python,This project has no bloated dependencies
UKPLab/sentence-transformers,True,True,True,Python,This project is correctly measurable by measure_proj.py script
ultralytics/yolov3,True,True,True,Python,This project has no bloated dependencies
ultralytics/yolov5,True,True,True,Python,This project has no bloated dependencies
Unity-Technologies/marathon-envs,True,True,True,Python,This project has no bloated dependencies
Unity-Technologies/ml-agents,True,True,True,Python,This project has no bloated dependencies
urduhack/urduhack,True,True,True,Python,This project has no bloated dependencies
vaexio/vaex,True,True,True,Python,This project is correctly measurable by measure_proj.py script
vanvalenlab/deepcell-tf,True,True,True,Python,This project is correctly measurable by measure_proj.py script
VertaAI/modeldb,True,True,True,Python,This project has no bloated dependencies
vespa-engine/sample-apps,True,True,True,Python,This project has no bloated dependencies
videoflow/videoflow,True,True,True,Python,This project has no bloated dependencies
vita-epfl/monoloco,True,True,True,Python,This project has no bloated dependencies
vita-epfl/openpifpaf,True,True,True,Python,This project has no bloated dependencies
wandb/client,True,True,False,Python,This project has an incomplete output. PyCD is missing some configuration files
wikipedia2vec/wikipedia2vec,True,True,False,Python,This project has an incomplete output. PyCD is missing some configuration files
XanaduAI/pennylane,True,True,True,Python,This project has no bloated dependencies
XanaduAI/strawberryfields,True,True,True,Python,This project has no bloated dependencies
Xilinx/brevitas,True,True,True,Python,This project has no bloated dependencies
yahoo/TensorFlowOnSpark,True,True,True,Python,This project has no bloated dependencies
YosefLab/scVI,True,False,False,Python,This project has no output. PyCD returning an empty/no file
yzhao062/pyod,True,True,True,Python,This project has no bloated dependencies
zalandoresearch/pytorch-ts,True,True,True,Python,This project is correctly measurable by measure_proj.py script
zhanghang1989/PyTorch-Encoding,True,True,True,Python,This project has no bloated dependencies
zyfra/ebonite,True,True,True,Python,This project has no bloated dependencies
